Time,RVS
0,3000.0
1,2998.4087358366432
2,2996.880910353955
3,2995.4774331325984
4,2994.2542563804604
5,2993.2601442946907
6,2992.5347289870465
7,2992.106930476664
8,2991.993803740156
9,2992.1998587835146
10,2992.7168808424053
11,2993.524257878898
12,2994.5898023183727
13,2995.871034266548
14,2997.3168750488117
15,2998.869683555788
16,3000.467554212475
17,3002.046784958164
18,3003.544416846575
19,3004.900744020366
20,3006.0616939952574
21,3006.98098335934
22,3007.6219629466523
23,3007.959078923776
24,3007.9788915405356
25,3007.680610930422
26,3007.076128600081
27,3006.189543352471
28,3005.0562005436313
29,3003.7212829748796
30,3002.238009597108
31,3000.665513839147
32,2999.0664861445694
33,2997.504674701535
34,2996.0423440036952
35,2994.7377925613237
36,2993.643028723675
37,2992.801697270231
38,2992.247339431065
39,2992.002055703848
40,2992.075624776745
41,2992.465113682981
42,2993.1549947289686
43,2994.1177645344487
44,2995.315040505473
45,2996.699091027299
46,2998.2147383732463
47,2999.8015584665327
48,3001.3962897975407
49,3002.935355460568
50,3004.357397764433
51,3005.6057243699925
52,3006.6305684348067
53,3007.391072660095
54,3007.856918142303
55,3008.0095330921163
56,3007.8428332330905
57,3007.3634643625523
58,3006.590537404635
59,3005.5548665180386
60,3004.297740632763
61,3002.8692773907633
62,3001.326425113723
